id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
2880,2020,차대사람,횡단중,사고[건],00~02시,506
2881,2020,차대사람,횡단중,사고[건],02~04시,250
2882,2020,차대사람,횡단중,사고[건],04~06시,417
2883,2020,차대사람,횡단중,사고[건],06~08시,810
2884,2020,차대사람,횡단중,사고[건],08~10시,1171
2885,2020,차대사람,횡단중,사고[건],10~12시,1116
2886,2020,차대사람,횡단중,사고[건],12~14시,1185
2887,2020,차대사람,횡단중,사고[건],14~16시,1278
2888,2020,차대사람,횡단중,사고[건],16~18시,1532
2889,2020,차대사람,횡단중,사고[건],18~20시,2215
2890,2020,차대사람,횡단중,사고[건],20~22시,1674
2891,2020,차대사람,횡단중,사고[건],22~24시,993
2892,2020,차대사람,횡단중,사망[명],00~02시,24
2893,2020,차대사람,횡단중,사망[명],02~04시,20
2894,2020,차대사람,횡단중,사망[명],04~06시,48
2895,2020,차대사람,횡단중,사망[명],06~08시,57
2896,2020,차대사람,횡단중,사망[명],08~10시,31
2897,2020,차대사람,횡단중,사망[명],10~12시,31
2898,2020,차대사람,횡단중,사망[명],12~14시,32
2899,2020,차대사람,횡단중,사망[명],14~16시,37
2900,2020,차대사람,횡단중,사망[명],16~18시,38
2901,2020,차대사람,횡단중,사망[명],18~20시,91
2902,2020,차대사람,횡단중,사망[명],20~22시,64
2903,2020,차대사람,횡단중,사망[명],22~24시,47
2904,2020,차대사람,횡단중,부상[명],00~02시,526
2905,2020,차대사람,횡단중,부상[명],02~04시,254
2906,2020,차대사람,횡단중,부상[명],04~06시,395
2907,2020,차대사람,횡단중,부상[명],06~08시,787
2908,2020,차대사람,횡단중,부상[명],08~10시,1181
2909,2020,차대사람,횡단중,부상[명],10~12시,1135
2910,2020,차대사람,횡단중,부상[명],12~14시,1209
2911,2020,차대사람,횡단중,부상[명],14~16시,1321
2912,2020,차대사람,횡단중,부상[명],16~18시,1604
2913,2020,차대사람,횡단중,부상[명],18~20시,2296
2914,2020,차대사람,횡단중,부상[명],20~22시,1785
2915,2020,차대사람,횡단중,부상[명],22~24시,1058
2916,2020,차대사람,차도통행중,사고[건],00~02시,178
2917,2020,차대사람,차도통행중,사고[건],02~04시,121
2918,2020,차대사람,차도통행중,사고[건],04~06시,111
2919,2020,차대사람,차도통행중,사고[건],06~08시,173
2920,2020,차대사람,차도통행중,사고[건],08~10시,269
2921,2020,차대사람,차도통행중,사고[건],10~12시,354
2922,2020,차대사람,차도통행중,사고[건],12~14시,388
2923,2020,차대사람,차도통행중,사고[건],14~16시,415
2924,2020,차대사람,차도통행중,사고[건],16~18시,441
2925,2020,차대사람,차도통행중,사고[건],18~20시,551
2926,2020,차대사람,차도통행중,사고[건],20~22시,417
2927,2020,차대사람,차도통행중,사고[건],22~24시,284
2928,2020,차대사람,차도통행중,사망[명],00~02시,13
2929,2020,차대사람,차도통행중,사망[명],02~04시,11
2930,2020,차대사람,차도통행중,사망[명],04~06시,21
2931,2020,차대사람,차도통행중,사망[명],06~08시,15
2932,2020,차대사람,차도통행중,사망[명],08~10시,11
2933,2020,차대사람,차도통행중,사망[명],10~12시,7
2934,2020,차대사람,차도통행중,사망[명],12~14시,9
2935,2020,차대사람,차도통행중,사망[명],14~16시,9
2936,2020,차대사람,차도통행중,사망[명],16~18시,5
2937,2020,차대사람,차도통행중,사망[명],18~20시,35
2938,2020,차대사람,차도통행중,사망[명],20~22시,33
2939,2020,차대사람,차도통행중,사망[명],22~24시,26
2940,2020,차대사람,차도통행중,부상[명],00~02시,183
2941,2020,차대사람,차도통행중,부상[명],02~04시,122
2942,2020,차대사람,차도통행중,부상[명],04~06시,92
2943,2020,차대사람,차도통행중,부상[명],06~08시,159
2944,2020,차대사람,차도통행중,부상[명],08~10시,263
2945,2020,차대사람,차도통행중,부상[명],10~12시,355
2946,2020,차대사람,차도통행중,부상[명],12~14시,386
2947,2020,차대사람,차도통행중,부상[명],14~16시,418
2948,2020,차대사람,차도통행중,부상[명],16~18시,447
2949,2020,차대사람,차도통행중,부상[명],18~20시,544
2950,2020,차대사람,차도통행중,부상[명],20~22시,403
2951,2020,차대사람,차도통행중,부상[명],22~24시,282
2952,2020,차대사람,길가장자리구역통행중,사고[건],00~02시,76
2953,2020,차대사람,길가장자리구역통행중,사고[건],02~04시,58
2954,2020,차대사람,길가장자리구역통행중,사고[건],04~06시,50
2955,2020,차대사람,길가장자리구역통행중,사고[건],06~08시,79
2956,2020,차대사람,길가장자리구역통행중,사고[건],08~10시,144
2957,2020,차대사람,길가장자리구역통행중,사고[건],10~12시,201
2958,2020,차대사람,길가장자리구역통행중,사고[건],12~14시,216
2959,2020,차대사람,길가장자리구역통행중,사고[건],14~16시,269
2960,2020,차대사람,길가장자리구역통행중,사고[건],16~18시,262
2961,2020,차대사람,길가장자리구역통행중,사고[건],18~20시,323
2962,2020,차대사람,길가장자리구역통행중,사고[건],20~22시,241
2963,2020,차대사람,길가장자리구역통행중,사고[건],22~24시,160
2964,2020,차대사람,길가장자리구역통행중,사망[명],00~02시,2
2965,2020,차대사람,길가장자리구역통행중,사망[명],02~04시,2
2966,2020,차대사람,길가장자리구역통행중,사망[명],04~06시,1
2967,2020,차대사람,길가장자리구역통행중,사망[명],06~08시,6
2968,2020,차대사람,길가장자리구역통행중,사망[명],08~10시,1
2969,2020,차대사람,길가장자리구역통행중,사망[명],10~12시,3
2970,2020,차대사람,길가장자리구역통행중,사망[명],12~14시,2
2971,2020,차대사람,길가장자리구역통행중,사망[명],14~16시,5
2972,2020,차대사람,길가장자리구역통행중,사망[명],16~18시,4
2973,2020,차대사람,길가장자리구역통행중,사망[명],18~20시,8
2974,2020,차대사람,길가장자리구역통행중,사망[명],20~22시,4
2975,2020,차대사람,길가장자리구역통행중,사망[명],22~24시,2
2976,2020,차대사람,길가장자리구역통행중,부상[명],00~02시,85
2977,2020,차대사람,길가장자리구역통행중,부상[명],02~04시,60
2978,2020,차대사람,길가장자리구역통행중,부상[명],04~06시,50
2979,2020,차대사람,길가장자리구역통행중,부상[명],06~08시,75
2980,2020,차대사람,길가장자리구역통행중,부상[명],08~10시,146
2981,2020,차대사람,길가장자리구역통행중,부상[명],10~12시,210
2982,2020,차대사람,길가장자리구역통행중,부상[명],12~14시,222
2983,2020,차대사람,길가장자리구역통행중,부상[명],14~16시,276
2984,2020,차대사람,길가장자리구역통행중,부상[명],16~18시,267
2985,2020,차대사람,길가장자리구역통행중,부상[명],18~20시,322
2986,2020,차대사람,길가장자리구역통행중,부상[명],20~22시,246
2987,2020,차대사람,길가장자리구역통행중,부상[명],22~24시,163
2988,2020,차대사람,보도통행중,사고[건],00~02시,43
2989,2020,차대사람,보도통행중,사고[건],02~04시,25
2990,2020,차대사람,보도통행중,사고[건],04~06시,34
2991,2020,차대사람,보도통행중,사고[건],06~08시,79
2992,2020,차대사람,보도통행중,사고[건],08~10시,192
2993,2020,차대사람,보도통행중,사고[건],10~12시,235
2994,2020,차대사람,보도통행중,사고[건],12~14시,201
2995,2020,차대사람,보도통행중,사고[건],14~16시,255
2996,2020,차대사람,보도통행중,사고[건],16~18시,261
2997,2020,차대사람,보도통행중,사고[건],18~20시,334
2998,2020,차대사람,보도통행중,사고[건],20~22시,227
2999,2020,차대사람,보도통행중,사고[건],22~24시,129
3000,2020,차대사람,보도통행중,사망[명],00~02시,1
3001,2020,차대사람,보도통행중,사망[명],02~04시,0
3002,2020,차대사람,보도통행중,사망[명],04~06시,1
3003,2020,차대사람,보도통행중,사망[명],06~08시,4
3004,2020,차대사람,보도통행중,사망[명],08~10시,2
3005,2020,차대사람,보도통행중,사망[명],10~12시,4
3006,2020,차대사람,보도통행중,사망[명],12~14시,1
3007,2020,차대사람,보도통행중,사망[명],14~16시,3
