id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
1944,2018,차대사람,횡단중,사고[건],00~02시,850
1945,2018,차대사람,횡단중,사고[건],02~04시,419
1946,2018,차대사람,횡단중,사고[건],04~06시,688
1947,2018,차대사람,횡단중,사고[건],06~08시,1075
1948,2018,차대사람,횡단중,사고[건],08~10시,1754
1949,2018,차대사람,횡단중,사고[건],10~12시,1432
1950,2018,차대사람,횡단중,사고[건],12~14시,1440
1951,2018,차대사람,횡단중,사고[건],14~16시,1759
1952,2018,차대사람,횡단중,사고[건],16~18시,2279
1953,2018,차대사람,횡단중,사고[건],18~20시,2908
1954,2018,차대사람,횡단중,사고[건],20~22시,2249
1955,2018,차대사람,횡단중,사고[건],22~24시,1537
1956,2018,차대사람,횡단중,사망[명],00~02시,40
1957,2018,차대사람,횡단중,사망[명],02~04시,34
1958,2018,차대사람,횡단중,사망[명],04~06시,87
1959,2018,차대사람,횡단중,사망[명],06~08시,86
1960,2018,차대사람,횡단중,사망[명],08~10시,50
1961,2018,차대사람,횡단중,사망[명],10~12시,32
1962,2018,차대사람,횡단중,사망[명],12~14시,32
1963,2018,차대사람,횡단중,사망[명],14~16시,49
1964,2018,차대사람,횡단중,사망[명],16~18시,61
1965,2018,차대사람,횡단중,사망[명],18~20시,132
1966,2018,차대사람,횡단중,사망[명],20~22시,107
1967,2018,차대사람,횡단중,사망[명],22~24시,84
1968,2018,차대사람,횡단중,부상[명],00~02시,904
1969,2018,차대사람,횡단중,부상[명],02~04시,433
1970,2018,차대사람,횡단중,부상[명],04~06시,642
1971,2018,차대사람,횡단중,부상[명],06~08시,1017
1972,2018,차대사람,횡단중,부상[명],08~10시,1775
1973,2018,차대사람,횡단중,부상[명],10~12시,1452
1974,2018,차대사람,횡단중,부상[명],12~14시,1485
1975,2018,차대사람,횡단중,부상[명],14~16시,1795
1976,2018,차대사람,횡단중,부상[명],16~18시,2333
1977,2018,차대사람,횡단중,부상[명],18~20시,3007
1978,2018,차대사람,횡단중,부상[명],20~22시,2337
1979,2018,차대사람,횡단중,부상[명],22~24시,1615
1980,2018,차대사람,차도통행중,사고[건],00~02시,274
1981,2018,차대사람,차도통행중,사고[건],02~04시,151
1982,2018,차대사람,차도통행중,사고[건],04~06시,146
1983,2018,차대사람,차도통행중,사고[건],06~08시,191
1984,2018,차대사람,차도통행중,사고[건],08~10시,394
1985,2018,차대사람,차도통행중,사고[건],10~12시,443
1986,2018,차대사람,차도통행중,사고[건],12~14시,417
1987,2018,차대사람,차도통행중,사고[건],14~16시,458
1988,2018,차대사람,차도통행중,사고[건],16~18시,596
1989,2018,차대사람,차도통행중,사고[건],18~20시,690
1990,2018,차대사람,차도통행중,사고[건],20~22시,559
1991,2018,차대사람,차도통행중,사고[건],22~24시,423
1992,2018,차대사람,차도통행중,사망[명],00~02시,25
1993,2018,차대사람,차도통행중,사망[명],02~04시,14
1994,2018,차대사람,차도통행중,사망[명],04~06시,20
1995,2018,차대사람,차도통행중,사망[명],06~08시,10
1996,2018,차대사람,차도통행중,사망[명],08~10시,8
1997,2018,차대사람,차도통행중,사망[명],10~12시,14
1998,2018,차대사람,차도통행중,사망[명],12~14시,3
1999,2018,차대사람,차도통행중,사망[명],14~16시,10
2000,2018,차대사람,차도통행중,사망[명],16~18시,11
2001,2018,차대사람,차도통행중,사망[명],18~20시,38
2002,2018,차대사람,차도통행중,사망[명],20~22시,39
2003,2018,차대사람,차도통행중,사망[명],22~24시,13
2004,2018,차대사람,차도통행중,부상[명],00~02시,273
2005,2018,차대사람,차도통행중,부상[명],02~04시,142
2006,2018,차대사람,차도통행중,부상[명],04~06시,129
2007,2018,차대사람,차도통행중,부상[명],06~08시,184
2008,2018,차대사람,차도통행중,부상[명],08~10시,398
2009,2018,차대사람,차도통행중,부상[명],10~12시,438
2010,2018,차대사람,차도통행중,부상[명],12~14시,430
2011,2018,차대사람,차도통행중,부상[명],14~16시,457
