id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
468,2015,차대사람,횡단중,사고[건],00~02시,1193
469,2015,차대사람,횡단중,사고[건],02~04시,588
470,2015,차대사람,횡단중,사고[건],04~06시,696
471,2015,차대사람,횡단중,사고[건],06~08시,1353
472,2015,차대사람,횡단중,사고[건],08~10시,1904
473,2015,차대사람,횡단중,사고[건],10~12시,1510
474,2015,차대사람,횡단중,사고[건],12~14시,1639
475,2015,차대사람,횡단중,사고[건],14~16시,2033
476,2015,차대사람,횡단중,사고[건],16~18시,2604
477,2015,차대사람,횡단중,사고[건],18~20시,3536
478,2015,차대사람,횡단중,사고[건],20~22시,2740
479,2015,차대사람,횡단중,사고[건],22~24시,2117
480,2015,차대사람,횡단중,사망[명],00~02시,74
481,2015,차대사람,횡단중,사망[명],02~04시,38
482,2015,차대사람,횡단중,사망[명],04~06시,79
483,2015,차대사람,횡단중,사망[명],06~08시,94
484,2015,차대사람,횡단중,사망[명],08~10시,52
485,2015,차대사람,횡단중,사망[명],10~12시,58
486,2015,차대사람,횡단중,사망[명],12~14시,38
487,2015,차대사람,횡단중,사망[명],14~16시,38
488,2015,차대사람,횡단중,사망[명],16~18시,78
489,2015,차대사람,횡단중,사망[명],18~20시,177
490,2015,차대사람,횡단중,사망[명],20~22시,118
491,2015,차대사람,횡단중,사망[명],22~24시,110
492,2015,차대사람,횡단중,부상[명],00~02시,1249
493,2015,차대사람,횡단중,부상[명],02~04시,615
494,2015,차대사람,횡단중,부상[명],04~06시,660
495,2015,차대사람,횡단중,부상[명],06~08시,1307
496,2015,차대사람,횡단중,부상[명],08~10시,1937
497,2015,차대사람,횡단중,부상[명],10~12시,1513
498,2015,차대사람,횡단중,부상[명],12~14시,1688
499,2015,차대사람,횡단중,부상[명],14~16시,2076
500,2015,차대사람,횡단중,부상[명],16~18시,2678
501,2015,차대사람,횡단중,부상[명],18~20시,3578
502,2015,차대사람,횡단중,부상[명],20~22시,2853
503,2015,차대사람,횡단중,부상[명],22~24시,2239
504,2015,차대사람,차도통행중,사고[건],00~02시,326
505,2015,차대사람,차도통행중,사고[건],02~04시,155
506,2015,차대사람,차도통행중,사고[건],04~06시,133
507,2015,차대사람,차도통행중,사고[건],06~08시,181
508,2015,차대사람,차도통행중,사고[건],08~10시,365
509,2015,차대사람,차도통행중,사고[건],10~12시,330
510,2015,차대사람,차도통행중,사고[건],12~14시,382
511,2015,차대사람,차도통행중,사고[건],14~16시,414
512,2015,차대사람,차도통행중,사고[건],16~18시,490
513,2015,차대사람,차도통행중,사고[건],18~20시,594
514,2015,차대사람,차도통행중,사고[건],20~22시,551
515,2015,차대사람,차도통행중,사고[건],22~24시,456
