id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
1476,2017,차대사람,횡단중,사고[건],00~02시,1318
1477,2017,차대사람,횡단중,사고[건],02~04시,613
1478,2017,차대사람,횡단중,사고[건],04~06시,835
1479,2017,차대사람,횡단중,사고[건],06~08시,1378
1480,2017,차대사람,횡단중,사고[건],08~10시,2328
1481,2017,차대사람,횡단중,사고[건],10~12시,2031
1482,2017,차대사람,횡단중,사고[건],12~14시,2111
1483,2017,차대사람,횡단중,사고[건],14~16시,2547
1484,2017,차대사람,횡단중,사고[건],16~18시,3005
1485,2017,차대사람,횡단중,사고[건],18~20시,3911
1486,2017,차대사람,횡단중,사고[건],20~22시,3064
1487,2017,차대사람,횡단중,사고[건],22~24시,2240
1488,2017,차대사람,횡단중,사망[명],00~02시,76
1489,2017,차대사람,횡단중,사망[명],02~04시,51
1490,2017,차대사람,횡단중,사망[명],04~06시,104
1491,2017,차대사람,횡단중,사망[명],06~08시,98
1492,2017,차대사람,횡단중,사망[명],08~10시,59
1493,2017,차대사람,횡단중,사망[명],10~12시,61
1494,2017,차대사람,횡단중,사망[명],12~14시,43
1495,2017,차대사람,횡단중,사망[명],14~16시,54
1496,2017,차대사람,횡단중,사망[명],16~18시,62
1497,2017,차대사람,횡단중,사망[명],18~20시,166
1498,2017,차대사람,횡단중,사망[명],20~22시,114
1499,2017,차대사람,횡단중,사망[명],22~24시,86
1500,2017,차대사람,횡단중,부상[명],00~02시,1382
1501,2017,차대사람,횡단중,부상[명],02~04시,621
1502,2017,차대사람,횡단중,부상[명],04~06시,772
1503,2017,차대사람,횡단중,부상[명],06~08시,1342
1504,2017,차대사람,횡단중,부상[명],08~10시,2345
1505,2017,차대사람,횡단중,부상[명],10~12시,2041
1506,2017,차대사람,횡단중,부상[명],12~14시,2191
1507,2017,차대사람,횡단중,부상[명],14~16시,2623
1508,2017,차대사람,횡단중,부상[명],16~18시,3089
1509,2017,차대사람,횡단중,부상[명],18~20시,4030
1510,2017,차대사람,횡단중,부상[명],20~22시,3227
1511,2017,차대사람,횡단중,부상[명],22~24시,2338
1512,2017,차대사람,차도통행중,사고[건],00~02시,224
1513,2017,차대사람,차도통행중,사고[건],02~04시,118
1514,2017,차대사람,차도통행중,사고[건],04~06시,122
1515,2017,차대사람,차도통행중,사고[건],06~08시,168
1516,2017,차대사람,차도통행중,사고[건],08~10시,334
1517,2017,차대사람,차도통행중,사고[건],10~12시,328
1518,2017,차대사람,차도통행중,사고[건],12~14시,348
1519,2017,차대사람,차도통행중,사고[건],14~16시,385
1520,2017,차대사람,차도통행중,사고[건],16~18시,404
1521,2017,차대사람,차도통행중,사고[건],18~20시,528
1522,2017,차대사람,차도통행중,사고[건],20~22시,441
1523,2017,차대사람,차도통행중,사고[건],22~24시,347
1524,2017,차대사람,차도통행중,사망[명],00~02시,16
1525,2017,차대사람,차도통행중,사망[명],02~04시,19
1526,2017,차대사람,차도통행중,사망[명],04~06시,8
1527,2017,차대사람,차도통행중,사망[명],06~08시,17
1528,2017,차대사람,차도통행중,사망[명],08~10시,11
1529,2017,차대사람,차도통행중,사망[명],10~12시,10
1530,2017,차대사람,차도통행중,사망[명],12~14시,8
1531,2017,차대사람,차도통행중,사망[명],14~16시,7
1532,2017,차대사람,차도통행중,사망[명],16~18시,14
1533,2017,차대사람,차도통행중,사망[명],18~20시,34
1534,2017,차대사람,차도통행중,사망[명],20~22시,26
1535,2017,차대사람,차도통행중,사망[명],22~24시,23
1536,2017,차대사람,차도통행중,부상[명],00~02시,232
1537,2017,차대사람,차도통행중,부상[명],02~04시,110
1538,2017,차대사람,차도통행중,부상[명],04~06시,124
1539,2017,차대사람,차도통행중,부상[명],06~08시,153
1540,2017,차대사람,차도통행중,부상[명],08~10시,327
1541,2017,차대사람,차도통행중,부상[명],10~12시,322
