id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
0,2014,차대사람,횡단중,사고[건],00~02시,950
1,2014,차대사람,횡단중,사고[건],02~04시,484
2,2014,차대사람,횡단중,사고[건],04~06시,652
3,2014,차대사람,횡단중,사고[건],06~08시,1080
4,2014,차대사람,횡단중,사고[건],08~10시,1490
5,2014,차대사람,횡단중,사고[건],10~12시,1192
6,2014,차대사람,횡단중,사고[건],12~14시,1350
7,2014,차대사람,횡단중,사고[건],14~16시,1679
8,2014,차대사람,횡단중,사고[건],16~18시,1993
9,2014,차대사람,횡단중,사고[건],18~20시,2707
10,2014,차대사람,횡단중,사고[건],20~22시,2241
11,2014,차대사람,횡단중,사고[건],22~24시,1726
12,2014,차대사람,횡단중,사망[명],00~02시,61
13,2014,차대사람,횡단중,사망[명],02~04시,36
14,2014,차대사람,횡단중,사망[명],04~06시,103
15,2014,차대사람,횡단중,사망[명],06~08시,103
16,2014,차대사람,횡단중,사망[명],08~10시,34
17,2014,차대사람,횡단중,사망[명],10~12시,50
18,2014,차대사람,횡단중,사망[명],12~14시,34
19,2014,차대사람,횡단중,사망[명],14~16시,36
20,2014,차대사람,횡단중,사망[명],16~18시,55
21,2014,차대사람,횡단중,사망[명],18~20시,148
22,2014,차대사람,횡단중,사망[명],20~22시,124
23,2014,차대사람,횡단중,사망[명],22~24시,99
24,2014,차대사람,횡단중,부상[명],00~02시,991
25,2014,차대사람,횡단중,부상[명],02~04시,525
26,2014,차대사람,횡단중,부상[명],04~06시,601
27,2014,차대사람,횡단중,부상[명],06~08시,1014
28,2014,차대사람,횡단중,부상[명],08~10시,1521
29,2014,차대사람,횡단중,부상[명],10~12시,1206
30,2014,차대사람,횡단중,부상[명],12~14시,1379
31,2014,차대사람,횡단중,부상[명],14~16시,1710
32,2014,차대사람,횡단중,부상[명],16~18시,2049
33,2014,차대사람,횡단중,부상[명],18~20시,2742
34,2014,차대사람,횡단중,부상[명],20~22시,2304
35,2014,차대사람,횡단중,부상[명],22~24시,1796
36,2014,차대사람,차도통행중,사고[건],00~02시,183
37,2014,차대사람,차도통행중,사고[건],02~04시,105
38,2014,차대사람,차도통행중,사고[건],04~06시,115
39,2014,차대사람,차도통행중,사고[건],06~08시,123
40,2014,차대사람,차도통행중,사고[건],08~10시,239
41,2014,차대사람,차도통행중,사고[건],10~12시,227
42,2014,차대사람,차도통행중,사고[건],12~14시,237
43,2014,차대사람,차도통행중,사고[건],14~16시,285
44,2014,차대사람,차도통행중,사고[건],16~18시,340
45,2014,차대사람,차도통행중,사고[건],18~20시,458
46,2014,차대사람,차도통행중,사고[건],20~22시,431
47,2014,차대사람,차도통행중,사고[건],22~24시,316
48,2014,차대사람,차도통행중,사망[명],00~02시,16
49,2014,차대사람,차도통행중,사망[명],02~04시,11
50,2014,차대사람,차도통행중,사망[명],04~06시,13
51,2014,차대사람,차도통행중,사망[명],06~08시,8
52,2014,차대사람,차도통행중,사망[명],08~10시,4
53,2014,차대사람,차도통행중,사망[명],10~12시,7
54,2014,차대사람,차도통행중,사망[명],12~14시,5
55,2014,차대사람,차도통행중,사망[명],14~16시,8
56,2014,차대사람,차도통행중,사망[명],16~18시,13
57,2014,차대사람,차도통행중,사망[명],18~20시,20
58,2014,차대사람,차도통행중,사망[명],20~22시,19
59,2014,차대사람,차도통행중,사망[명],22~24시,22
60,2014,차대사람,차도통행중,부상[명],00~02시,183
61,2014,차대사람,차도통행중,부상[명],02~04시,97
62,2014,차대사람,차도통행중,부상[명],04~06시,109
63,2014,차대사람,차도통행중,부상[명],06~08시,120
64,2014,차대사람,차도통행중,부상[명],08~10시,242
65,2014,차대사람,차도통행중,부상[명],10~12시,224
66,2014,차대사람,차도통행중,부상[명],12~14시,237
67,2014,차대사람,차도통행중,부상[명],14~16시,286
68,2014,차대사람,차도통행중,부상[명],16~18시,338
69,2014,차대사람,차도통행중,부상[명],18~20시,463
70,2014,차대사람,차도통행중,부상[명],20~22시,451
71,2014,차대사람,차도통행중,부상[명],22~24시,311
72,2014,차대사람,길가장자리구역통행중,사고[건],00~02시,149
73,2014,차대사람,길가장자리구역통행중,사고[건],02~04시,92
74,2014,차대사람,길가장자리구역통행중,사고[건],04~06시,91
75,2014,차대사람,길가장자리구역통행중,사고[건],06~08시,121
76,2014,차대사람,길가장자리구역통행중,사고[건],08~10시,274
77,2014,차대사람,길가장자리구역통행중,사고[건],10~12시,206
78,2014,차대사람,길가장자리구역통행중,사고[건],12~14시,259
79,2014,차대사람,길가장자리구역통행중,사고[건],14~16시,294
80,2014,차대사람,길가장자리구역통행중,사고[건],16~18시,365
81,2014,차대사람,길가장자리구역통행중,사고[건],18~20시,362
82,2014,차대사람,길가장자리구역통행중,사고[건],20~22시,334
83,2014,차대사람,길가장자리구역통행중,사고[건],22~24시,325
84,2014,차대사람,길가장자리구역통행중,사망[명],00~02시,4
85,2014,차대사람,길가장자리구역통행중,사망[명],02~04시,2
86,2014,차대사람,길가장자리구역통행중,사망[명],04~06시,6
87,2014,차대사람,길가장자리구역통행중,사망[명],06~08시,3
88,2014,차대사람,길가장자리구역통행중,사망[명],08~10시,6
89,2014,차대사람,길가장자리구역통행중,사망[명],10~12시,8
90,2014,차대사람,길가장자리구역통행중,사망[명],12~14시,6
91,2014,차대사람,길가장자리구역통행중,사망[명],14~16시,7
92,2014,차대사람,길가장자리구역통행중,사망[명],16~18시,8
93,2014,차대사람,길가장자리구역통행중,사망[명],18~20시,12
94,2014,차대사람,길가장자리구역통행중,사망[명],20~22시,13
95,2014,차대사람,길가장자리구역통행중,사망[명],22~24시,5
96,2014,차대사람,길가장자리구역통행중,부상[명],00~02시,152
97,2014,차대사람,길가장자리구역통행중,부상[명],02~04시,99
98,2014,차대사람,길가장자리구역통행중,부상[명],04~06시,93
99,2014,차대사람,길가장자리구역통행중,부상[명],06~08시,122
100,2014,차대사람,길가장자리구역통행중,부상[명],08~10시,276
101,2014,차대사람,길가장자리구역통행중,부상[명],10~12시,220
102,2014,차대사람,길가장자리구역통행중,부상[명],12~14시,260
103,2014,차대사람,길가장자리구역통행중,부상[명],14~16시,296
104,2014,차대사람,길가장자리구역통행중,부상[명],16~18시,379
105,2014,차대사람,길가장자리구역통행중,부상[명],18~20시,367
106,2014,차대사람,길가장자리구역통행중,부상[명],20~22시,344
107,2014,차대사람,길가장자리구역통행중,부상[명],22~24시,342
108,2014,차대사람,보도통행중,사고[건],00~02시,77
109,2014,차대사람,보도통행중,사고[건],02~04시,40
110,2014,차대사람,보도통행중,사고[건],04~06시,44
111,2014,차대사람,보도통행중,사고[건],06~08시,94
112,2014,차대사람,보도통행중,사고[건],08~10시,180
113,2014,차대사람,보도통행중,사고[건],10~12시,213
114,2014,차대사람,보도통행중,사고[건],12~14시,231
115,2014,차대사람,보도통행중,사고[건],14~16시,242
116,2014,차대사람,보도통행중,사고[건],16~18시,280
117,2014,차대사람,보도통행중,사고[건],18~20시,314
118,2014,차대사람,보도통행중,사고[건],20~22시,285
119,2014,차대사람,보도통행중,사고[건],22~24시,188
120,2014,차대사람,보도통행중,사망[명],00~02시,0
121,2014,차대사람,보도통행중,사망[명],02~04시,1
122,2014,차대사람,보도통행중,사망[명],04~06시,6
123,2014,차대사람,보도통행중,사망[명],06~08시,2
124,2014,차대사람,보도통행중,사망[명],08~10시,4
125,2014,차대사람,보도통행중,사망[명],10~12시,1
126,2014,차대사람,보도통행중,사망[명],12~14시,6
127,2014,차대사람,보도통행중,사망[명],14~16시,3
128,2014,차대사람,보도통행중,사망[명],16~18시,5
129,2014,차대사람,보도통행중,사망[명],18~20시,11
130,2014,차대사람,보도통행중,사망[명],20~22시,5
131,2014,차대사람,보도통행중,사망[명],22~24시,1
132,2014,차대사람,보도통행중,부상[명],00~02시,87
133,2014,차대사람,보도통행중,부상[명],02~04시,45
134,2014,차대사람,보도통행중,부상[명],04~06시,42
135,2014,차대사람,보도통행중,부상[명],06~08시,98
