id,year_type_id,사고유형대분류,사고유형중분류,구분,시간대,값
3816,2022,차대사람,횡단중,사고[건],00~02시,394
3817,2022,차대사람,횡단중,사고[건],02~04시,184
3818,2022,차대사람,횡단중,사고[건],04~06시,340
3819,2022,차대사람,횡단중,사고[건],06~08시,722
3820,2022,차대사람,횡단중,사고[건],08~10시,1340
3821,2022,차대사람,횡단중,사고[건],10~12시,1176
3822,2022,차대사람,횡단중,사고[건],12~14시,1265
3823,2022,차대사람,횡단중,사고[건],14~16시,1358
3824,2022,차대사람,횡단중,사고[건],16~18시,1754
3825,2022,차대사람,횡단중,사고[건],18~20시,2141
3826,2022,차대사람,횡단중,사고[건],20~22시,1613
3827,2022,차대사람,횡단중,사고[건],22~24시,937
3828,2022,차대사람,횡단중,사망[명],00~02시,25
3829,2022,차대사람,횡단중,사망[명],02~04시,22
3830,2022,차대사람,횡단중,사망[명],04~06시,43
3831,2022,차대사람,횡단중,사망[명],06~08시,52
3832,2022,차대사람,횡단중,사망[명],08~10시,31
3833,2022,차대사람,횡단중,사망[명],10~12시,29
3834,2022,차대사람,횡단중,사망[명],12~14시,26
3835,2022,차대사람,횡단중,사망[명],14~16시,22
3836,2022,차대사람,횡단중,사망[명],16~18시,31
3837,2022,차대사람,횡단중,사망[명],18~20시,50
3838,2022,차대사람,횡단중,사망[명],20~22시,56
3839,2022,차대사람,횡단중,사망[명],22~24시,45
3840,2022,차대사람,횡단중,부상[명],00~02시,410
3841,2022,차대사람,횡단중,부상[명],02~04시,199
3842,2022,차대사람,횡단중,부상[명],04~06시,306
3843,2022,차대사람,횡단중,부상[명],06~08시,690
3844,2022,차대사람,횡단중,부상[명],08~10시,1351
3845,2022,차대사람,횡단중,부상[명],10~12시,1191
3846,2022,차대사람,횡단중,부상[명],12~14시,1298
3847,2022,차대사람,횡단중,부상[명],14~16시,1400
3848,2022,차대사람,횡단중,부상[명],16~18시,1831
3849,2022,차대사람,횡단중,부상[명],18~20시,2213
3850,2022,차대사람,횡단중,부상[명],20~22시,1710
3851,2022,차대사람,횡단중,부상[명],22~24시,979
3852,2022,차대사람,차도통행중,사고[건],00~02시,161
